country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Honduras,3.92,5.07,6.80,8.99,11.51,14.28,17.53,21.29,23.44,24.68,26.75,32.21,39.02,43.56,48.37,54.64
Hong Kong Special Administrative Region of China,13.94,20.85,32.02,39.13,44.64,50.21,60.89,74.84,84.85,88.58,92.26,94.92,97.51,97.73,139.49,139.68
Hungary,67.95,77.39,88.58,94.52,97.05,97.78,97.51,97.86,98.30,98.48,98.47,98.97,98.46,99.42,130.87,132.26
Iceland,99.98,99.92,99.91,99.94,99.93,99.95,99.96,99.93,99.92,99.94,99.96,99.96,99.96,99.95,107.76,108.48
India,10.33,12.49,15.29,18.14,22.00,26.62,30.19,33.18,36.74,41.11,46.32,53.77,58.39,67.09,75.24,81.46
Indonesia,4.53,6.61,10.61,15.10,19.72,25.02,28.72,36.53,47.84,55.13,60.50,66.49,72.95,76.64,89.04,93.61
Iran (Islamic Republic of),4.74,5.82,9.40,16.50,22.23,29.41,37.36,45.30,48.75,55.26,65.88,72.26,77.41,82.53,86.62,89.34
Iraq,4.05,6.11,10.14,16.83,22.28,25.18,32.06,37.04,38.08,36.76,35.58,38.60,36.42,43.53,51.44,58.26
Ireland,36.76,38.64,45.47,54.62,62.69,75.23,84.83,90.10,93.53,95.06,96.24,97.55,97.75,98.81,136.60,137.64
Israel,46.99,54.00,61.12,67.15,74.20,76.27,78.73,80.91,83.35,85.56,87.02,89.62,88.20,90.15,104.39,106.24
Italy,27.08,33.29,41.56,47.51,59.95,75.50,86.63,92.00,94.05,95.54,96.44,98.46,98.20,99.53,109.68,110.25
Jamaica,22.16,27.33,30.16,36.86,44.68,57.50,71.57,80.67,84.81,87.96,89.74,93.10,94.43,95.28,95.88,96.17
Japan,99.31,87.91,89.91,93.19,99.32,99.88,99.88,99.90,99.93,99.93,99.92,99.91,99.22,99.88,99.89,99.84
Jordan,9.32,14.66,21.28,44.14,50.92,54.82,58.51,62.02,63.59,64.58,62.06,66.24,71.71,76.51,101.58,106.28
Kazakhstan,56.10,62.45,75.68,85.10,94.42,97.57,98.62,99.06,99.07,99.04,99.03,99.05,99.01,99.00,99.06,98.96
Kenya,5.75,8.06,11.87,18.31,23.69,26.30,33.34,40.65,50.89,59.21,60.22,63.74,64.07,62.38,70.34,73.42
Kiribati,11.34,13.99,17.33,21.64,26.38,31.23,36.70,40.69,46.34,52.62,60.77,70.11,81.22,82.48,87.62,90.51
Kuwait,14.70,18.90,25.43,32.12,38.26,59.55,59.61,58.44,57.71,56.90,57.09,75.39,61.56,87.65,87.66,87.32
Kyrgyzstan,51.92,59.20,73.93,85.92,95.15,97.95,98.80,98.99,99.06,99.08,98.96,98.87,98.68,98.38,98.80,98.76
Lao People's Democratic Republic,1.81,2.79,4.16,5.89,8.34,10.85,15.36,18.01,21.98,22.02,23.55,30.00,35.76,41.71,48.72,56.44
Latin America and the Caribbean,13.50,16.43,20.42,25.75,32.33,39.45,46.36,52.24,56.68,60.90,65.31,70.18,74.63,78.66,81.92,84.75
Latvia,84.31,85.55,93.55,96.89,98.86,99.33,99.48,99.48,99.35,99.13,98.50,98.33,97.48,97.70,116.32,117.33
Lebanon,9.25,14.81,18.95,26.98,36.05,44.85,53.08,60.38,66.59,72.00,75.93,81.58,83.20,85.03,86.84,88.05
Lesotho,3.75,5.11,6.59,8.07,9.96,13.21,16.31,19.55,23.81,25.49,30.74,35.42,40.32,42.78,49.16,55.55
Liberia,4.39,6.56,9.72,12.66,17.74,24.18,27.42,30.47,31.10,29.36,30.64,31.13,27.54,30.30,34.64,39.65
Libyan Arab Jamahiriya,,,,,,,,,,,,,,,81.77,85.48
Lithuania,44.10,50.81,70.18,85.18,96.35,98.88,99.32,99.44,99.42,99.08,97.97,98.60,98.88,97.95,125.87,126.13
Luxembourg,46.89,54.69,60.33,68.02,71.39,74.90,78.31,79.71,82.80,86.15,90.41,94.45,95.18,98.19,119.14,120.48
Macao Special Administrative Region of China,5.90,10.22,16.57,25.00,35.90,46.42,56.79,67.35,76.98,83.62,88.84,90.75,93.28,93.43,93.92,93.51
Madagascar,3.52,4.83,6.68,9.59,10.71,12.85,14.91,18.34,18.09,14.17,16.13,12.87,17.20,23.07,28.54,34.31
Malawi,6.17,7.91,11.13,15.01,18.25,21.35,25.15,27.25,28.97,32.82,38.70,42.50,44.88,54.34,60.99,66.63
Malaysia,9.65,12.53,16.45,24.96,33.17,50.51,59.74,73.36,80.41,84.38,85.83,90.81,92.16,96.27,97.05,96.89
Maldives,0.12,0.30,0.67,1.41,2.71,5.70,7.54,10.11,16.00,28.55,44.47,68.32,80.02,87.18,105.22,106.85
Mali,0.80,1.21,1.63,2.32,3.81,6.01,7.00,6.94,6.72,7.26,10.20,12.93,18.70,23.96,30.51,37.55
Malta,26.90,29.38,36.41,42.60,45.14,52.73,79.99,99.38,99.66,99.52,99.48,99.77,99.63,99.90,99.90,99.50
