country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Democratic People's Republic of Korea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.12,0.40,1.40,4.40,11.51,23.71,39.49,30.86,70.06,76.70,91.68,99.01,99.90,99.96,99.97,99.97,99.97,99.97,99.96,99.97,99.97
Democratic Republic of the Congo,0.00,0.01,0.02,0.03,0.07,0.10,0.16,0.25,0.40,0.65,0.99,1.49,2.20,3.16,4.41,6.05,8.17,10.79,14.78,17.12,23.55,30.48,37.09,42.43,46.67,48.79,48.15,52.62,53.44,59.64
Denmark,99.81,99.85,99.86,99.86,99.86,99.87,99.87,99.87,99.87,99.88,99.88,99.88,99.86,99.87,99.87,99.86,99.86,99.86,99.80,99.65,99.56,99.41,99.16,99.16,99.13,99.24,99.40,99.80,99.96,99.97
Dominican Republic,0.05,0.11,0.21,0.40,0.68,1.10,1.67,2.37,3.20,4.09,4.90,5.67,6.50,7.52,9.37,11.43,12.27,14.48,17.37,21.71,27.85,36.26,44.77,52.56,56.14,58.27,63.84,69.39,75.25,78.38
Eastern Africa,0.01,0.07,0.13,0.21,0.27,0.35,0.44,0.51,0.60,0.71,0.90,1.07,1.34,1.71,2.21,2.83,3.50,4.28,5.55,7.32,9.23,11.27,14.00,17.55,20.88,22.81,24.91,27.71,29.77,31.61
Eastern Asia,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.17,0.54,1.56,4.09,7.62,10.67,13.23,14.65,18.12,23.20,28.12,34.29,42.41,46.99,53.48,66.89,76.27,78.08,82.81,88.10,91.06,93.33,95.22
Eastern Europe,2.27,1.22,3.41,5.43,7.25,7.76,8.53,9.10,10.28,11.81,14.70,16.79,19.84,23.78,32.37,47.56,62.94,58.97,75.64,88.14,95.59,97.82,98.53,98.88,98.88,98.80,98.44,98.62,98.22,98.77
Ecuador,0.20,0.21,0.31,0.43,0.58,0.76,1.00,1.33,1.73,2.24,2.88,3.74,4.88,6.23,7.51,8.70,10.02,12.08,14.96,19.46,25.94,33.69,41.51,48.33,52.27,54.39,56.76,62.26,67.13,72.06
Egypt,0.02,0.05,0.09,0.14,0.24,0.31,0.45,0.64,0.89,1.23,1.70,2.27,2.99,3.90,5.00,6.33,8.15,10.59,13.70,17.18,22.48,28.14,34.83,41.14,48.32,54.94,60.94,67.28,72.25,76.81
El Salvador,0.02,0.02,0.03,0.06,0.09,0.15,0.22,0.34,0.50,0.73,1.02,1.40,1.91,2.64,4.12,4.75,6.32,8.38,11.04,14.30,18.38,23.67,30.30,36.56,41.64,45.97,51.28,55.98,60.16,65.18
Equatorial Guinea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.12,0.29,0.67,1.40,2.72,4.87,8.08,11.45,18.44,20.90,24.25,25.45,27.36,29.28,26.16,25.06,32.96,36.49
Estonia,0.00,0.00,0.00,0.01,0.02,0.05,0.14,0.36,0.86,1.90,3.92,7.61,13.62,22.55,34.48,48.71,64.02,78.40,88.52,94.15,97.25,98.42,99.03,99.30,99.29,98.92,98.15,98.24,97.97,98.32
Ethiopia,0.03,0.04,0.05,0.05,0.07,0.08,0.10,0.11,0.13,0.17,0.21,0.26,0.31,0.37,0.46,0.54,0.57,0.79,0.94,1.24,1.85,2.74,3.81,4.89,6.00,7.29,8.97,11.73,12.76,15.18
Europe,13.18,12.49,19.20,22.66,25.39,27.68,29.91,30.80,31.83,33.41,35.41,36.59,38.10,39.65,45.84,51.88,59.39,59.10,71.19,79.22,85.69,90.52,93.26,94.73,95.48,96.10,96.59,97.28,97.10,97.85
Fiji,0.01,0.02,0.03,0.06,0.10,0.17,0.25,0.37,0.53,0.80,1.22,1.82,2.71,3.95,5.64,7.96,11.05,14.80,18.80,23.38,29.70,40.98,55.31,65.17,69.83,73.49,78.12,84.22,86.40,88.15
Finland,0.12,0.14,0.22,0.32,0.48,0.71,1.04,1.53,2.24,3.26,4.69,6.68,9.36,12.87,17.41,23.15,30.25,38.93,48.94,60.68,69.52,78.74,94.52,99.02,99.72,99.77,99.77,99.75,99.89,99.48
France,0.53,0.74,1.05,1.43,1.90,2.44,3.07,3.79,4.72,5.81,7.19,8.98,11.51,15.38,33.35,32.27,33.78,39.57,47.99,58.29,67.18,72.74,79.62,85.15,88.57,90.80,92.72,93.71,94.74,95.25
French Guiana,0.49,0.09,0.71,0.99,1.46,2.00,2.69,3.52,4.60,5.99,7.71,9.61,11.63,14.24,17.90,22.51,28.29,34.46,40.33,45.01,49.07,52.95,56.47,59.10,59.81,57.93,60.24,59.19,60.11,64.91
French Polynesia,0.01,0.02,0.05,0.10,0.16,0.28,0.47,0.76,1.21,1.86,2.83,4.08,5.76,8.07,11.45,15.71,17.97,25.72,31.58,40.23,52.44,59.76,65.00,70.66,77.10,82.80,88.34,92.25,95.01,96.24
Gabon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.14,0.51,1.57,4.07,8.08,15.98,24.29,34.75,37.21,37.59,40.55,43.95,45.77,49.07,47.14
Gambia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.22,1.32,6.03,8.56,10.69,12.97,16.47,21.52,25.14,30.40,38.00,46.68,50.47
