country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Liberia,1.71,2.59,3.90,5.09,7.25,10.25,11.21,12.09,11.61,10.46,10.79,14.59,8.95,10.27,12.29,14.91
Libyan Arab Jamahiriya,,,,,,,,,,,,,,,59.87,65.72
Lithuania,25.78,30.83,45.07,58.10,78.62,88.42,92.72,93.89,93.46,88.66,82.57,85.48,89.62,88.53,117.80,119.12
Luxembourg,28.69,35.94,40.73,48.69,52.93,56.19,59.88,62.09,64.19,67.92,73.20,78.52,83.24,84.99,107.45,109.82
Macao Special Administrative Region of China,2.69,4.74,7.82,12.03,17.78,23.35,29.46,36.01,43.34,53.29,65.84,71.67,78.72,80.34,83.54,84.46
Madagascar,0.96,1.39,2.09,3.21,3.51,4.77,4.99,5.18,5.19,3.94,5.02,6.02,6.83,9.67,12.56,15.81
Malawi,0.94,1.33,1.72,2.42,3.21,3.95,5.11,5.94,7.17,9.87,12.36,15.76,15.25,20.44,24.88,29.28
Malaysia,6.77,8.49,11.07,16.66,21.75,33.10,42.13,53.76,61.46,66.81,72.61,79.76,85.65,89.18,91.38,92.20
Maldives,0.01,0.05,0.15,0.40,0.97,2.30,3.92,6.53,10.03,14.14,19.05,26.78,31.41,32.61,54.44,60.35
Mali,0.28,0.46,0.68,1.02,1.64,2.78,3.19,2.84,2.73,3.31,4.77,7.77,9.22,12.19,15.94,20.09
Malta,9.18,9.84,12.96,15.22,17.06,20.82,25.43,32.52,39.25,45.03,48.93,58.97,68.47,75.45,80.60,84.70
Martinique,1.61,5.44,19.15,25.22,32.13,38.80,44.35,50.58,57.44,63.79,67.18,77.71,71.53,74.57,77.08,78.44
Mauritania,,,,,,,,,,,,,,,12.58,15.79
Mauritius,6.50,8.31,9.96,11.66,14.16,21.93,27.13,29.11,30.69,34.16,38.53,49.36,57.50,66.69,72.99,77.58
Mayotte,,,,,,,,,,,,,,,71.27,72.80
