country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Greece,0.94,1.34,1.89,2.61,3.48,4.49,5.64,6.92,8.29,9.74,11.20,12.68,14.17,15.82,18.01,21.09,25.39,31.02,35.88,43.19,51.63,62.94,70.88,78.92,83.46,86.29,86.98,88.92,90.99,92.05
Guadeloupe,0.00,0.00,0.01,0.01,0.02,0.06,0.10,0.19,0.35,0.63,1.12,1.94,3.25,5.33,8.53,13.12,19.41,27.17,35.91,40.66,48.71,56.96,64.38,70.60,75.64,78.03,80.02,83.19,82.91,84.23
Guatemala,0.24,0.32,0.41,0.52,0.66,0.82,1.02,1.25,1.51,1.82,2.23,2.73,3.35,4.05,4.83,5.73,5.99,7.34,8.83,10.81,13.92,17.21,20.61,24.37,27.31,30.43,34.33,39.38,45.84,52.58
Guinea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.06,0.11,0.19,0.38,0.69,1.22,1.68,3.02,5.22,8.94,15.25,15.84,13.66,14.02,14.82,19.95,25.89,34.43,39.15
Guinea-Bissau,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.06,0.11,0.21,0.36,0.64,1.14,1.99,3.37,5.51,8.61,12.14,18.04,24.00,23.84,26.14,30.68,32.66,38.40,34.85
Guyana,2.25,3.09,4.20,5.59,7.25,9.15,11.24,13.46,15.79,18.25,20.75,23.31,25.98,28.70,31.69,34.84,35.78,40.69,43.30,49.88,58.34,63.31,64.78,67.10,69.40,75.96,76.00,84.19,88.95,91.84
Haiti,0.80,1.00,1.22,1.47,1.74,2.00,2.30,2.59,2.91,3.23,3.58,3.93,4.30,4.67,5.15,5.61,6.11,7.55,9.04,9.45,12.11,14.47,18.13,24.31,31.94,36.01,45.59,43.55,40.15,45.85
Honduras,0.16,0.20,0.26,0.33,0.42,0.50,0.61,0.74,0.89,1.07,1.28,1.51,1.79,2.12,2.53,3.20,3.72,5.12,6.97,9.30,11.96,14.87,18.11,21.46,22.96,23.41,24.75,29.48,35.56,39.45
Hong Kong Special Administrative Region of China,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.11,0.29,0.71,1.65,3.53,6.88,12.19,19.58,28.23,40.02,45.19,50.88,55.42,64.27,76.93,86.01,90.16,93.23,95.14,97.46,97.46
Hungary,0.30,0.45,0.70,1.07,1.57,2.30,3.35,4.90,7.14,10.37,14.89,21.04,29.10,38.82,50.05,61.81,73.01,83.89,91.41,95.23,97.19,97.90,97.80,98.17,98.43,98.48,98.44,98.76,98.35,99.22
