country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Germany,15.93,20.00,24.79,30.29,36.43,43.03,49.88,56.74,63.32,69.41,74.86,79.57,83.54,86.81,89.53,91.79,93.65,94.60,96.53,96.94,96.15,96.41,96.47,96.69,96.55,95.83,96.43,97.71,97.67,99.07
Ghana,0.08,0.10,0.15,0.19,0.27,0.35,0.48,0.63,0.83,1.10,1.47,1.94,2.56,3.37,4.42,5.76,7.51,10.02,11.92,18.16,24.87,36.81,38.54,38.81,38.36,40.67,46.18,52.12,55.73,59.82
Greece,0.00,0.02,0.02,0.05,0.10,0.18,0.33,0.59,1.00,1.65,2.61,3.93,5.59,7.52,9.79,12.52,16.02,20.71,23.24,31.07,40.04,55.01,64.82,75.80,85.41,90.07,91.51,92.63,93.89,94.34
Guadeloupe,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.12,0.23,0.47,0.95,1.86,3.52,6.40,10.99,17.60,25.98,35.47,39.63,49.58,57.40,65.45,74.09,78.65,81.39,84.87,89.48,90.21,91.78
Guatemala,0.05,0.07,0.10,0.15,0.20,0.28,0.37,0.50,0.67,0.86,1.14,1.52,2.04,2.72,3.63,4.71,6.67,7.42,8.06,9.18,11.15,13.19,16.11,19.06,21.15,23.88,27.98,32.80,39.77,46.48
Guinea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.11,0.21,0.39,0.63,1.02,1.81,3.65,5.10,4.78,4.19,4.05,5.34,9.02,14.34,19.93
Guinea-Bissau,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.05,0.10,0.19,0.36,0.68,1.23,2.17,3.62,5.45,7.89,10.90,14.25,18.01,21.04,21.19
Guyana,0.05,0.07,0.13,0.24,0.41,0.68,1.13,1.82,2.87,4.45,6.61,9.46,13.06,17.29,22.14,27.27,29.79,35.80,39.98,50.81,61.02,67.71,72.21,76.10,79.49,82.70,89.80,90.10,89.56,90.25
Haiti,0.65,0.76,0.88,1.02,1.17,1.32,1.51,1.70,1.93,2.18,2.47,2.76,3.07,3.40,3.84,4.04,4.39,4.88,5.63,6.52,7.84,10.10,12.95,17.10,23.27,28.83,38.28,40.38,39.97,45.21
Honduras,0.52,0.74,1.02,1.32,1.65,1.94,2.21,2.46,2.69,2.85,2.97,3.03,3.06,3.05,3.08,3.51,4.11,5.01,6.64,8.69,11.05,13.67,16.94,21.12,23.91,25.96,28.81,35.03,42.60,47.81
Hong Kong Special Administrative Region of China,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.10,0.28,0.69,1.63,3.62,7.31,12.13,22.41,31.56,37.72,44.45,57.07,72.65,83.72,87.08,91.35,94.72,97.56,97.99
Hungary,0.44,0.64,0.93,1.34,1.89,2.64,3.68,5.10,7.00,9.55,12.86,17.18,22.72,29.76,38.92,50.21,63.03,70.90,85.90,93.81,96.92,97.64,97.19,97.53,98.14,98.47,98.50,99.16,98.58,99.65
Iceland,0.00,0.00,0.01,0.03,0.11,0.46,1.75,6.47,21.16,51.00,80.13,93.98,98.37,99.57,99.89,99.95,99.97,99.88,99.92,99.92,99.95,99.91,99.95,99.92,99.88,99.92,99.98,99.98,99.95,99.93
India,0.01,0.01,0.02,0.03,0.05,0.09,0.12,0.18,0.25,0.37,0.51,0.72,1.00,1.36,1.85,2.54,3.52,4.83,6.73,8.28,11.05,15.21,19.19,22.27,25.79,30.46,36.63,46.13,52.64,63.79
Indonesia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.06,0.14,0.30,0.59,1.08,2.21,2.71,3.91,6.23,9.90,14.17,19.49,22.73,29.70,41.12,50.62,57.54,64.80,72.89,77.05
Iran (Islamic Republic of),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.09,0.25,0.66,3.74,3.26,3.14,4.67,9.64,13.84,19.58,27.20,35.86,40.69,48.09,62.20,70.10,77.45,82.40
Iraq,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.08,0.19,0.42,0.92,1.65,2.90,8.10,11.62,11.39,20.37,28.11,29.60,27.79,27.40,32.59,34.33,42.12
Ireland,1.73,2.22,2.83,3.60,4.55,5.70,7.11,8.82,10.88,13.29,16.11,19.28,22.71,26.49,30.90,36.05,41.87,43.55,50.35,60.04,65.57,77.12,86.15,91.12,93.77,95.94,96.52,97.76,98.05,98.89
Israel,0.36,0.59,0.95,1.49,2.25,3.33,4.79,6.70,9.10,12.00,15.35,19.15,23.44,28.52,34.67,40.08,45.51,51.39,59.49,66.12,74.24,77.03,79.72,82.30,85.42,88.19,89.99,93.59,93.04,93.16
Italy,2.04,2.62,3.28,3.99,4.72,5.46,6.27,7.17,8.16,9.23,10.37,11.60,12.93,14.55,16.75,19.68,23.61,28.98,36.42,40.73,52.89,70.65,84.20,91.29,93.98,95.72,96.77,98.62,98.37,99.58
Jamaica,0.14,0.23,0.36,0.53,0.77,1.09,1.51,2.06,2.81,3.76,4.98,6.52,8.49,10.99,14.09,17.77,21.92,27.34,30.78,38.04,46.17,59.70,75.17,84.34,88.23,91.18,93.12,95.72,96.74,97.33
Japan,0.00,0.00,0.00,0.00,0.01,0.07,0.26,0.90,2.96,9.10,24.69,52.11,78.13,91.47,96.54,98.40,99.13,88.88,90.04,92.77,99.24,99.88,99.89,99.90,99.93,99.93,99.92,99.92,99.21,99.88
Jordan,0.00,0.00,0.00,0.01,0.01,0.02,0.05,0.08,0.13,0.21,0.34,0.53,0.81,1.23,1.86,2.75,4.06,6.16,9.68,44.28,50.96,54.85,58.52,62.03,63.59,64.58,62.06,66.24,71.72,76.51
Kazakhstan,1.06,1.72,2.74,4.23,6.32,9.05,12.48,16.53,21.00,25.76,30.60,35.27,39.76,44.02,38.62,51.63,53.73,60.21,73.61,83.48,93.85,97.56,98.78,99.21,99.23,99.21,99.23,99.26,99.18,99.23
Kenya,0.01,0.01,0.03,0.07,0.11,0.17,0.26,0.36,0.51,0.67,0.89,1.13,1.40,1.69,1.98,2.50,2.35,3.50,5.10,8.18,12.58,16.77,24.50,32.44,42.61,53.65,56.11,62.22,63.25,62.77
Kiribati,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.09,0.19,0.39,0.77,1.48,2.79,5.00,8.37,13.02,18.82,25.50,32.64,38.76,44.09,53.54,62.54,73.28,85.30,86.95
