country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Slovakia,1.52,2.28,3.54,6.06,7.00,8.21,9.54,10.46,11.32,12.77,16.38,17.73,32.82,22.78,44.10,46.90
Slovenia,0.51,0.97,1.64,2.52,3.61,5.02,6.05,7.92,9.33,12.04,14.15,14.77,42.57,17.33,33.99,36.98
Solomon Islands,0.27,0.16,0.27,0.55,0.99,1.32,1.57,1.84,2.39,2.16,2.95,5.27,4.29,5.20,6.41,7.37
Somalia,0.24,0.38,0.55,0.73,0.80,0.99,0.86,0.61,0.57,0.26,0.33,1.14,0.50,0.50,0.71,0.95
South Africa,0.60,1.02,1.33,1.79,2.06,2.51,3.06,3.27,3.86,3.88,3.56,4.01,5.62,5.26,11.24,12.82
South America,1.47,1.99,2.74,3.97,5.51,6.95,8.10,9.02,9.82,10.76,12.04,13.32,15.13,18.69,17.99,19.85
South Sudan,0.01,0.03,0.06,0.13,0.17,0.28,0.50,0.70,0.71,0.65,0.79,1.21,1.09,1.15,1.46,1.78
South-Eastern Asia,0.83,0.96,1.29,1.98,2.98,3.72,4.50,5.50,6.10,7.11,8.83,11.74,13.65,16.71,17.53,19.57
Southern Africa,0.56,0.96,1.27,1.75,2.08,2.55,3.18,3.47,4.06,4.16,4.02,4.57,6.34,5.84,6.37,7.36
Southern Asia,0.35,0.55,1.03,1.28,1.82,2.59,3.26,3.83,4.57,5.42,6.95,9.16,13.09,14.17,15.80,18.28
Southern Europe,1.23,1.64,2.19,3.11,4.55,6.20,7.58,9.09,11.23,14.76,17.44,19.21,26.86,21.95,22.92,24.59
Spain,2.05,2.51,3.36,5.03,7.17,10.18,13.46,16.95,21.13,27.05,29.56,30.81,37.35,34.09,71.24,74.91
Sri Lanka,2.35,2.79,3.60,5.69,6.85,8.27,11.15,15.94,18.02,21.95,27.16,28.52,32.27,37.97,39.61,42.32
Sudan,0.18,0.26,0.38,0.56,0.82,1.23,1.76,2.34,3.05,4.29,5.29,9.72,6.61,8.26,9.06,10.58
Suriname,0.81,1.91,3.36,5.05,4.73,5.01,5.94,6.90,7.84,8.94,12.61,12.92,13.20,12.66,14.03,15.24
Swaziland,0.16,0.33,0.65,0.95,2.21,2.16,2.45,3.31,4.18,3.95,4.11,5.35,3.93,4.16,4.58,5.21
Sweden,5.45,8.19,10.94,13.91,16.57,18.84,20.03,21.02,23.28,27.09,29.69,30.54,51.49,33.34,67.34,71.34
Switzerland,0.81,1.30,2.09,3.08,3.74,4.98,6.14,7.10,8.34,9.76,11.46,12.66,37.96,16.17,32.38,37.34
Syrian Arab Republic,0.13,0.26,0.48,1.08,1.69,2.46,3.40,4.28,4.78,5.63,10.26,6.30,7.64,9.11,20.93,23.78
Taiwan Province of China,0.55,1.07,1.58,2.74,5.28,6.99,8.96,12.66,17.93,23.90,28.32,32.20,35.52,41.54,73.54,76.24
Tajikistan,2.42,5.04,8.42,11.24,14.57,15.16,14.24,13.06,11.80,10.38,8.89,9.67,9.95,12.29,12.68,13.71
Thailand,0.70,1.00,1.43,2.01,2.95,4.24,6.01,7.35,7.91,10.31,14.38,17.99,19.37,25.71,26.47,28.85
