country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Finland,99.89,99.90,99.89,99.89,99.89,99.89,99.88,99.88,99.89,99.89,99.89,99.89,99.90,99.91,99.90,99.91,99.92,99.92,99.93,99.95,99.97,99.97,100.00,100.00,100.00,100.00,99.99,100.00,99.99,99.99
France,74.13,77.07,79.76,82.21,84.39,86.34,88.07,89.59,90.92,92.08,93.10,93.97,94.72,95.37,95.43,96.65,96.65,96.16,95.87,96.17,97.31,98.08,98.38,98.51,98.75,98.90,98.97,99.20,99.30,99.51
French Guiana,3.48,4.53,5.85,7.50,9.49,11.84,14.60,17.76,21.41,25.51,29.99,34.74,39.67,44.77,50.03,55.40,60.85,65.84,70.13,72.81,75.37,77.40,78.84,79.93,80.72,81.58,84.83,84.12,85.51,91.26
French Polynesia,0.15,0.26,0.40,0.64,1.02,1.59,2.47,3.77,5.65,8.26,11.76,16.25,21.78,28.31,35.81,43.95,48.28,57.99,64.72,72.49,81.80,85.26,87.45,89.71,91.80,94.59,96.82,97.62,98.73,99.13
Gabon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.11,0.32,0.95,2.59,6.53,14.30,25.51,39.64,57.36,70.26,77.03,79.50,80.75,81.14,81.37,83.51,85.15,83.26
Gambia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.50,2.73,10.54,14.93,20.29,26.22,32.28,38.22,44.11,50.80,57.57,63.48,65.64
Georgia,0.00,0.00,0.00,0.01,0.02,0.06,0.20,0.62,1.79,4.68,10.92,22.24,38.69,57.21,73.43,84.91,91.96,95.70,97.87,98.92,99.37,99.49,99.52,99.52,99.49,99.51,99.43,99.45,99.34,99.47
Germany,99.91,99.92,99.94,99.96,99.96,99.97,99.98,99.98,99.99,100.00,99.99,99.99,99.99,99.99,100.00,100.00,100.00,99.99,100.00,99.99,99.99,100.00,100.00,100.00,99.99,100.00,99.99,100.00,99.99,99.99
Ghana,0.67,0.94,1.29,1.75,2.32,3.06,4.00,5.15,6.62,8.43,10.63,13.28,16.43,20.10,24.32,29.09,34.37,40.10,45.06,52.98,59.32,67.13,66.01,66.03,66.78,68.59,71.27,73.39,78.04,73.15
Greece,3.20,4.57,6.42,8.85,11.86,15.50,19.74,24.54,29.76,35.29,40.95,46.64,52.25,57.83,63.53,69.45,75.68,82.02,85.25,93.33,96.16,97.44,97.89,98.05,98.04,97.77,97.37,97.68,97.35,98.22
Guadeloupe,0.23,0.36,0.56,0.86,1.32,2.02,3.02,4.48,6.56,9.45,13.36,18.47,24.84,32.44,41.06,50.22,59.44,68.04,75.54,79.33,84.00,87.50,90.10,92.50,94.27,95.33,96.35,97.42,97.64,97.61
Guatemala,1.63,1.97,2.35,2.78,3.28,3.84,4.48,5.20,5.98,6.86,7.90,9.10,10.48,11.91,13.37,14.90,14.91,16.91,19.01,22.33,27.03,33.05,38.66,44.37,49.79,53.84,57.90,63.06,70.95,77.63
Guinea,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.04,0.07,0.11,0.18,0.29,0.45,0.69,1.11,1.72,2.66,3.57,5.76,8.68,14.36,22.07,22.93,22.92,24.29,25.14,29.61,37.46,45.65,53.97
Guinea-Bissau,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.07,0.14,0.26,0.45,0.81,1.45,2.56,4.39,7.27,11.53,16.67,24.87,33.28,35.81,41.09,48.40,53.27,62.26,61.03
Guyana,3.90,5.34,7.24,9.62,12.51,15.90,19.75,23.98,28.55,33.40,38.40,43.46,48.55,53.52,58.44,63.17,65.09,70.25,74.32,79.52,84.00,86.87,88.86,90.50,91.55,93.68,94.40,96.29,97.40,97.92
Haiti,2.17,2.45,2.75,3.09,3.46,3.83,4.24,4.67,5.16,5.69,6.29,6.93,7.65,8.42,9.43,10.26,11.28,13.12,15.47,17.11,20.31,23.95,28.98,36.86,45.81,49.57,61.81,61.36,52.34,55.64
