country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Saint Vincent and the Grenadines,2.93,4.40,5.82,7.95,10.02,10.92,11.32,10.13,10.47,12.35,12.80,14.40,16.21,18.42,19.84,20.87
Samoa,2.20,2.89,4.07,6.49,8.12,7.64,8.60,8.23,8.21,10.64,11.12,12.22,14.66,15.85,17.55,18.08
Sao Tome and Principe,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.34,0.42,0.60
Saudi Arabia,0.45,0.88,1.53,2.41,3.66,4.87,5.21,6.16,6.59,6.89,6.78,8.68,10.14,12.18,25.68,28.47
Senegal,0.11,0.22,0.34,0.49,0.77,0.96,0.95,0.94,1.04,1.05,1.19,1.60,5.10,2.72,3.43,4.29
Serbia,2.07,2.50,3.39,4.07,4.92,4.79,5.22,5.44,5.37,5.88,7.03,7.71,13.27,9.79,9.69,10.90
Seychelles,,,,,,,,,,,,,,,13.41,14.35
Sierra Leone,0.08,0.13,0.19,0.29,0.43,0.80,0.88,1.08,1.19,1.10,1.23,1.54,1.93,5.99,2.30,2.80
Singapore,2.76,5.01,8.70,12.18,15.88,20.19,25.66,34.24,47.65,60.12,67.49,70.01,72.02,73.06,73.40,72.66
Slovakia,2.50,3.44,4.21,6.11,6.76,7.49,8.21,8.68,9.17,10.19,12.87,13.96,26.35,17.83,34.63,36.75
Slovenia,0.83,1.34,1.98,2.69,3.45,4.40,5.00,6.25,7.13,8.94,10.30,10.96,32.04,13.26,25.90,28.71
Solomon Islands,0.71,0.90,1.11,1.61,2.34,3.04,3.29,3.28,3.85,3.32,4.02,6.90,5.05,5.53,6.69,7.59
Somalia,0.14,0.23,0.40,0.67,1.23,1.64,1.95,2.06,1.99,1.44,1.54,1.76,1.41,1.78,2.36,2.89
South Africa,1.28,1.72,1.97,2.32,2.45,2.72,3.12,3.30,3.73,3.59,3.17,3.53,4.65,4.48,9.75,11.01
South America,1.71,2.21,2.96,4.13,5.48,6.60,7.39,7.95,8.47,9.23,10.32,11.33,12.99,15.85,15.21,16.66
South Sudan,0.09,0.14,0.24,0.45,0.51,0.77,1.02,1.13,1.19,1.10,1.24,2.31,1.46,1.70,2.04,2.42
South-Eastern Asia,1.08,1.33,1.79,2.49,3.41,4.05,4.73,5.49,5.89,6.66,7.93,10.49,11.90,14.44,15.21,16.83
