country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Kiribati,0.64,1.29,2.41,4.15,6.60,9.86,14.04,16.18,21.56,30.68,39.74,50.81,63.00,67.84,74.23,78.50
Kuwait,3.79,6.41,9.91,13.96,17.90,31.35,32.34,28.28,25.59,25.84,27.70,37.93,32.53,48.74,52.73,57.42
Kyrgyzstan,26.12,29.60,42.97,56.70,75.39,82.49,85.82,86.72,87.06,87.08,88.73,91.02,90.51,92.05,93.76,94.48
Lao People's Democratic Republic,0.21,0.40,0.74,1.28,2.26,3.17,5.44,7.74,9.74,8.58,8.60,12.60,17.38,23.03,31.72,40.90
Latin America and the Caribbean,6.89,8.70,11.20,14.70,19.43,24.39,29.24,33.57,36.97,40.44,44.81,50.19,55.34,60.22,64.55,68.52
Latvia,35.88,41.91,59.23,68.27,80.62,87.09,91.34,92.69,92.57,88.55,84.02,85.00,86.68,86.27,113.12,115.07
Lebanon,0.99,2.26,3.51,6.41,10.39,15.20,20.52,26.13,31.46,37.66,47.07,58.82,65.72,72.29,77.38,80.98
Lesotho,1.38,1.90,2.53,3.25,4.03,5.06,6.88,9.09,9.77,10.78,15.03,19.37,30.89,28.36,34.06,40.31
Liberia,0.68,0.92,1.34,1.51,2.24,3.68,4.87,5.97,6.31,6.56,7.70,10.66,7.39,9.94,12.06,14.47
Libyan Arab Jamahiriya,,,,,,,,,,,,,,,58.62,64.88
Lithuania,23.90,29.69,46.01,60.55,81.96,91.05,95.10,96.20,95.96,92.05,86.88,89.21,93.03,92.10,124.57,125.31
Luxembourg,17.13,24.13,31.45,40.68,47.19,51.75,57.66,61.64,65.67,70.41,76.39,82.31,87.06,88.97,115.72,117.52
Macao Special Administrative Region of China,0.88,2.09,4.33,7.89,12.85,26.92,31.90,38.04,45.05,54.08,64.10,68.43,74.19,75.36,78.99,80.88
Madagascar,0.20,0.47,0.85,2.39,2.76,3.32,3.84,4.32,4.84,3.82,5.11,5.32,7.23,10.91,14.53,18.56
Malawi,0.32,0.55,0.60,0.82,1.29,1.83,2.66,3.17,3.91,5.66,7.55,11.08,11.91,14.46,17.93,21.64
Malaysia,3.72,4.69,6.36,10.68,14.09,27.41,37.02,50.56,60.63,67.18,74.77,81.61,88.54,90.36,92.34,93.18
Maldives,0.00,0.00,0.01,0.04,0.18,0.43,1.34,3.61,7.38,11.24,16.89,25.08,33.15,33.22,65.12,70.77
Mali,0.06,0.12,0.17,0.34,0.60,1.02,1.26,1.31,1.31,1.68,2.73,4.79,6.24,9.28,12.67,16.51
Malta,6.23,6.74,8.23,10.76,13.39,16.44,20.72,27.56,35.69,44.31,52.10,63.46,73.24,81.19,86.31,89.46
Martinique,1.59,5.30,16.93,23.64,31.32,38.89,45.37,52.53,60.64,67.38,70.86,82.13,75.07,77.87,79.96,80.91
Mauritania,,,,,,,,,,,,,,,11.22,14.16
Mauritius,2.15,3.34,4.70,6.31,8.86,15.91,23.03,27.39,29.42,34.11,40.25,52.76,62.42,72.27,78.44,82.70
Mayotte,,,,,,,,,,,,,,,73.38,75.03
Melanesia,4.93,5.58,6.11,7.61,10.25,13.95,16.51,19.37,24.32,32.50,39.45,48.60,50.65,55.20,40.34,46.05
Mexico,3.07,4.91,7.50,10.87,14.92,18.67,24.51,30.03,33.45,35.53,38.13,43.99,50.79,55.52,74.21,80.91
Micronesia,0.40,0.99,2.56,5.86,11.21,16.64,21.74,22.10,26.89,32.88,38.12,46.37,54.71,60.27,70.22,73.89
Micronesia (Federated States of),0.11,0.65,2.73,7.69,16.10,23.26,28.24,27.19,31.43,34.40,36.96,42.69,45.22,52.17,57.53,61.97
Middle Africa,0.11,0.19,0.34,0.46,1.47,2.10,2.71,4.23,5.43,7.33,8.65,11.27,15.06,17.16,19.72,22.82
Mongolia,6.07,19.09,27.65,41.20,55.15,61.29,67.84,75.44,78.96,77.41,72.10,78.26,83.24,86.40,88.57,90.19
Montenegro,10.97,21.61,26.07,31.88,50.17,61.36,69.93,77.69,79.49,81.31,83.42,86.92,91.43,90.75,111.90,113.78
Morocco,0.02,0.10,0.46,1.06,2.31,3.68,6.57,9.89,10.97,10.53,12.17,18.39,23.79,32.28,47.00,55.04
Mozambique,0.12,0.18,0.26,0.41,0.48,0.84,1.70,2.45,2.68,3.30,4.68,6.44,7.93,10.97,11.07,13.36
Myanmar,1.13,1.55,2.23,3.50,5.01,6.37,7.38,8.43,10.02,12.21,14.98,18.94,24.72,27.81,32.48,36.89
Namibia,4.01,5.15,6.37,6.99,9.53,10.91,15.00,20.91,27.87,30.46,29.89,33.13,33.35,38.97,41.56,46.45
Nepal,0.25,0.42,0.61,0.99,1.61,2.70,4.06,6.11,9.48,13.85,19.54,29.36,39.43,49.58,59.22,66.75
Netherlands,15.09,21.25,27.42,32.60,39.05,47.00,57.07,63.11,68.33,72.19,75.26,77.61,79.72,81.10,99.99,102.94
New Caledonia,12.87,14.24,17.68,23.26,29.76,36.95,44.58,52.75,60.16,67.76,76.23,84.26,87.24,90.05,91.94,92.08
New Zealand,19.65,27.95,37.42,47.74,57.94,71.84,79.03,81.95,84.41,87.15,89.04,90.05,90.05,91.76,131.53,133.91
Nicaragua,1.76,2.79,4.38,6.02,8.73,12.64,16.79,20.61,22.41,23.47,27.99,30.82,36.21,42.09,47.79,53.05
Niger,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.15,0.28,0.35,0.32,0.58,0.80,1.38,2.48,3.46
Nigeria,0.54,1.05,2.30,3.06,4.03,5.76,9.23,14.16,16.69,21.29,26.33,30.59,39.11,38.88,43.05,46.13
Northern Africa,1.30,1.93,2.86,4.07,6.93,9.72,13.38,17.63,22.59,27.86,33.99,42.07,47.65,54.34,59.87,65.26
Northern America,64.75,69.35,73.73,78.48,82.36,84.33,84.91,85.15,85.25,85.03,85.18,87.30,88.91,90.03,90.82,91.06
Northern Europe,22.07,28.38,34.78,42.85,51.28,59.41,64.69,68.00,70.52,74.40,77.88,80.18,83.16,83.46,85.84,87.70
Norway,37.87,46.80,53.24,61.82,67.65,69.82,67.03,67.27,73.27,75.59,75.35,75.91,81.05,76.45,109.78,113.78
Occupied Palestinian Territory,1.09,2.21,3.89,7.99,17.66,22.45,26.02,31.51,35.08,37.94,43.34,56.54,64.89,75.14,106.31,111.20
Oceania,36.25,44.61,51.62,60.48,68.93,76.98,81.19,83.68,85.47,87.95,88.63,90.21,91.53,92.51,77.83,77.49
Oman,1.18,1.62,2.68,4.31,6.66,9.85,14.68,21.25,29.55,43.88,56.71,68.00,76.48,82.28,86.56,89.17
Pakistan,1.25,1.80,2.58,3.47,4.76,6.52,8.69,10.67,12.28,15.74,19.39,22.98,27.26,32.91,38.16,43.69
Panama,12.07,14.44,17.23,22.30,27.81,34.86,41.33,44.59,46.50,49.30,52.04,56.67,59.53,64.83,84.17,89.69
Papua New Guinea,,,,,,,,,,,,,,,36.48,42.70
Paraguay,6.19,6.96,8.66,10.84,12.78,15.50,18.49,21.73,24.84,30.36,36.86,41.70,47.85,53.84,59.45,64.34
Peru,13.22,16.45,17.95,22.62,29.71,37.11,43.31,48.90,53.50,57.98,62.50,66.80,72.94,79.25,100.97,104.42
Philippines,18.32,20.36,22.24,26.87,35.46,42.87,47.74,54.68,59.21,63.23,69.03,71.96,75.27,77.07,79.92,82.35
Poland,23.43,32.90,42.54,51.00,66.92,76.06,82.53,86.89,87.72,89.47,91.31,92.35,95.01,93.56,119.26,120.18
Polynesia,3.76,5.71,7.72,11.77,16.63,21.21,25.61,30.09,34.47,39.86,47.65,57.61,64.07,67.94,70.81,74.26
Portugal,4.16,4.50,5.76,8.34,11.85,17.31,23.03,28.64,34.97,45.62,55.30,62.29,70.49,72.97,102.87,106.95
Puerto Rico,28.07,33.18,40.59,50.17,59.88,68.89,74.44,78.97,81.63,82.79,83.08,84.85,85.79,87.27,105.96,105.46
Qatar,4.73,7.91,12.35,17.90,24.13,26.63,34.99,42.80,48.62,48.18,48.43,52.59,53.51,59.67,64.76,67.83
Republic of Korea,4.90,7.75,11.42,18.31,28.96,41.82,57.94,75.69,88.50,93.15,94.04,95.28,94.66,95.58,110.74,111.19
Republic of Moldova,10.48,11.97,24.94,35.01,50.62,59.58,65.48,68.32,68.46,70.57,66.41,66.62,72.75,77.09,80.32,82.67
Reunion,4.35,7.46,11.50,13.22,18.60,23.55,27.11,33.70,40.62,49.80,56.05,69.69,64.73,69.60,73.38,75.61
Romania,13.37,14.75,19.49,24.91,38.48,48.95,60.39,69.71,72.44,69.72,67.50,73.19,78.90,81.69,112.12,115.71
Russian Federation,37.62,22.59,44.43,64.33,79.86,86.29,90.12,91.87,91.93,90.77,89.88,91.17,91.96,92.88,112.09,113.31
Rwanda,0.03,0.06,0.09,0.16,0.25,0.41,0.53,1.05,2.01,2.98,4.02,6.06,9.37,10.93,12.92,16.25
Saint Lucia,3.16,5.21,7.19,11.79,16.65,22.63,29.53,33.23,38.42,50.77,64.24,70.69,73.19,79.24,101.68,105.35
Saint Vincent and the Grenadines,4.36,6.62,8.92,12.22,16.22,21.05,25.35,26.80,32.05,39.69,44.88,53.04,61.12,67.70,73.04,76.57
Samoa,2.47,3.38,4.32,6.92,9.18,10.01,11.47,12.72,14.52,21.14,29.13,34.83,43.00,49.41,53.64,57.07
Sao Tome and Principe,0.10,0.24,0.51,0.61,1.11,1.80,2.56,3.26,3.64,3.76,5.72,4.06,10.26,14.81,19.16,23.58
Saudi Arabia,0.29,0.69,1.57,3.32,7.06,12.59,16.23,28.31,35.80,37.35,45.76,54.46,58.74,68.18,86.04,91.11
Senegal,0.09,0.18,0.32,0.62,0.87,1.35,1.53,1.73,2.47,2.69,3.01,4.49,9.47,8.80,11.22,14.17
Serbia,14.63,18.43,24.72,33.34,49.01,55.75,66.13,75.75,78.46,81.08,83.53,87.32,90.89,91.50,94.38,94.83
Seychelles,,,,,,,,,,,,,,,73.38,75.62
Sierra Leone,0.09,0.17,0.28,0.46,0.75,1.60,1.89,2.60,3.19,3.56,3.64,4.71,8.71,17.30,17.91,21.00
Singapore,4.69,8.49,13.42,21.53,32.67,43.37,54.50,64.41,75.01,83.49,89.06,92.37,94.44,95.56,96.28,95.66
Slovakia,23.52,34.15,46.98,59.59,72.28,74.54,80.70,86.56,89.17,90.64,90.88,91.57,93.05,92.69,114.98,116.80
Slovenia,11.25,18.41,27.27,37.10,47.20,57.37,64.73,74.12,78.18,82.34,87.96,89.52,94.16,91.75,109.83,111.51
Solomon Islands,1.16,0.59,0.88,1.67,2.91,3.89,4.80,5.98,8.60,9.02,13.17,19.71,23.46,29.70,36.48,42.64
Somalia,0.51,0.72,0.97,1.24,1.33,1.81,1.48,2.06,4.34,3.63,4.19,3.00,4.12,5.75,8.04,10.94
South Africa,8.10,11.00,12.65,15.25,16.58,18.15,21.82,25.80,33.24,40.31,44.40,49.47,56.79,58.61,71.21,76.51
South America,7.82,9.68,12.17,15.79,20.86,26.29,31.12,35.13,38.92,43.33,48.75,54.49,59.50,65.04,69.67,73.61
South Sudan,0.93,0.90,1.15,1.43,1.48,2.00,3.27,5.02,5.77,5.81,7.67,10.24,12.28,15.77,20.15,24.84
South-Eastern Asia,2.89,3.94,5.58,7.99,11.80,15.58,18.73,23.57,28.76,32.73,38.32,45.03,52.15,58.87,65.22,69.72
Southern Africa,7.27,9.86,11.38,14.00,15.47,16.95,20.50,24.52,31.80,38.14,41.65,47.27,54.42,56.15,62.64,67.01
Southern Asia,1.54,2.32,3.81,4.87,6.70,9.50,12.05,14.07,16.35,19.50,24.14,31.22,37.02,45.21,53.35,60.18
Southern Europe,8.90,11.50,15.11,19.55,27.70,37.32,45.76,52.32,57.79,64.39,69.88,74.99,79.36,81.60,85.06,86.89
Spain,6.52,7.79,10.47,15.00,21.09,29.93,39.23,47.94,54.41,62.19,66.79,69.33,70.50,72.83,112.53,117.23
Sri Lanka,9.11,12.49,17.48,22.92,27.62,29.84,32.95,37.84,42.00,49.83,55.64,60.97,67.54,72.92,77.24,80.49
Sudan,0.79,1.08,1.56,2.12,2.87,4.60,7.57,11.07,14.12,17.31,21.11,25.13,26.01,30.52,34.73,39.28
Suriname,2.63,4.83,8.14,12.74,13.02,13.85,16.57,19.80,22.33,24.22,32.92,38.38,46.55,49.21,55.51,60.47
Swaziland,0.36,0.76,1.53,2.45,5.23,6.24,8.46,12.12,16.14,18.73,20.38,24.94,22.24,23.54,26.52,29.67
Sweden,27.60,38.03,45.49,55.13,61.52,68.06,74.42,79.55,82.75,83.22,83.28,85.23,88.03,87.80,123.69,126.68
Switzerland,32.11,40.50,48.92,57.11,61.94,66.61,70.60,72.50,75.74,77.15,78.59,81.72,88.60,86.26,104.29,107.03
Syrian Arab Republic,0.96,1.55,2.42,3.65,5.55,7.83,10.73,13.63,16.12,19.16,20.33,22.17,26.85,31.77,47.17,53.36
Taiwan Province of China,3.37,6.11,7.87,13.78,24.42,35.95,49.37,64.40,78.73,86.12,89.28,92.59,95.43,96.53,129.93,131.33
Tajikistan,8.57,18.45,32.19,46.59,59.04,69.84,75.67,78.35,78.87,78.75,73.76,75.22,72.62,76.63,81.84,83.86
Thailand,2.12,2.98,4.18,5.87,10.00,13.67,19.61,24.83,28.50,35.91,47.97,58.44,63.88,72.62,77.15,79.90
The former Yugoslav Republic of Macedonia,4.04,9.00,16.73,25.64,37.18,39.48,45.08,53.67,53.54,51.51,62.18,76.54,80.37,83.79,87.02,88.74
Timor-Leste,0.77,0.61,0.81,0.75,0.95,2.74,4.31,7.32,13.86,21.51,27.83,37.12,46.96,55.55,64.25,71.32
Togo,0.17,0.28,0.87,1.01,1.42,2.04,2.71,3.01,3.26,3.46,3.99,7.12,7.22,16.89,20.72,25.38
