country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Hungary,98.81,98.81,99.06,99.28,99.39,99.46,99.38,99.40,99.53,99.59,99.58,99.63,99.59,99.69,131.09,132.49
Iceland,99.99,99.99,99.99,99.98,100.00,99.98,99.99,99.98,99.97,99.97,99.98,99.98,99.96,99.96,107.77,108.62
India,18.92,21.87,26.14,29.51,34.29,39.94,43.96,47.11,50.89,55.57,61.08,68.34,73.65,80.06,85.78,89.74
Indonesia,29.57,34.30,41.13,51.22,59.66,69.06,74.23,80.10,86.48,91.25,93.31,94.04,95.15,95.15,104.49,106.36
Iran (Islamic Republic of),12.46,13.74,19.32,29.79,38.12,47.67,56.08,66.15,73.36,80.38,87.27,89.84,92.62,93.75,94.66,95.12
Iraq,11.53,13.32,19.74,29.72,38.67,44.76,53.89,61.25,67.79,69.64,67.86,67.40,64.40,65.24,69.01,71.87
Ireland,98.94,98.99,99.16,99.38,99.55,99.49,99.60,99.66,99.64,99.51,99.50,99.55,99.51,99.55,137.20,138.28
Israel,73.07,76.42,81.79,87.43,91.32,93.04,93.94,94.53,95.08,95.60,95.97,96.17,95.33,96.53,109.99,111.20
Italy,81.80,86.62,90.38,93.20,96.10,97.39,98.00,98.49,98.72,98.88,99.00,99.29,99.39,99.61,109.71,110.46
Jamaica,59.36,65.11,69.25,74.17,80.00,86.59,92.21,95.57,96.85,97.73,98.34,98.98,99.20,99.34,99.43,99.38
Japan,99.74,99.78,99.81,99.84,99.89,99.89,99.89,99.91,99.93,99.94,99.94,99.92,99.93,99.89,99.90,99.87
Jordan,15.71,23.91,33.62,65.10,71.79,75.10,78.02,79.55,79.23,80.19,80.82,82.02,85.52,88.42,110.65,113.25
Kazakhstan,84.83,87.49,91.61,94.08,97.77,98.97,99.38,99.54,99.53,99.53,99.50,99.57,99.48,99.41,99.42,99.36
Kenya,9.63,12.70,17.53,27.13,38.78,45.55,54.49,63.53,70.35,74.80,74.94,77.47,78.05,74.52,81.02,82.83
Kiribati,22.80,27.94,34.20,41.86,49.87,57.05,65.61,71.08,75.45,79.50,82.01,84.48,89.75,88.34,91.85,93.50
Kuwait,20.72,25.90,33.82,41.43,47.75,69.17,68.16,65.68,64.22,63.10,61.77,82.25,76.25,97.37,96.47,96.11
Kyrgyzstan,72.95,79.86,88.35,94.78,98.39,99.32,99.62,99.63,99.66,99.65,99.57,99.67,99.58,99.14,99.56,99.54
Lao People's Democratic Republic,14.27,18.87,24.22,29.97,36.62,42.85,51.49,57.08,63.07,64.69,67.46,72.65,77.12,80.93,82.42,85.05
Latin America and the Caribbean,35.72,39.30,44.04,49.93,57.06,64.11,70.47,75.20,78.75,81.95,84.74,87.65,90.36,91.64,93.08,93.97
Latvia,97.88,97.98,99.08,99.50,99.67,99.76,99.77,99.71,99.65,99.60,99.51,99.39,99.49,98.95,117.36,118.37
Lebanon,23.04,33.23,39.92,51.89,63.67,73.61,81.38,87.20,91.31,94.20,95.40,97.55,97.67,97.64,97.85,97.82
Lesotho,9.60,12.45,15.57,18.92,23.15,29.03,37.53,48.47,57.49,61.78,64.27,69.03,72.89,73.95,76.74,78.78
Liberia,7.63,10.49,14.18,18.03,23.10,29.83,34.15,38.66,40.97,40.65,44.14,47.27,47.23,49.96,54.16,59.25
Libyan Arab Jamahiriya,,,,,,,,,,,,,,,89.16,90.88
