Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,7397.109655,7670.595456,7480.271724,6967.750196,7551.024908,8219.551556,8041.224874,8172.274565,8436.308564,9111.945975,9244.122518,9614.610617,9617.688149,9729.532589,10100.446914,9936.495834,9584.748518,10088.337487,9480.940095,10284.606409,10275.798702,9587.673794,9365.684654,9617.700057,9614.447262,8973.318749,9378.468664,9484.458766,9236.807713,8445.410092,8115.093864,8729.823185,9293.186923,9920.673586,10359.89272,9934.107761,10352.14,11056.688133,11348.202212,10838.319935,10631.650364,10051.944846,8861.561993,9545.531941,10302.446532,11099.750919,11870.279156,12811.902121,13197.357027,12285.378465,13387.155375,14040.618912,13754.425424,13946.095083,13456.131916,13679.626498,13265.886064,13520.112985,13058.328545,12706.397811,11393.050596,12549.28117,13276.823211
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.022145,1426.827914,840.205259,792.567859,857.394475,932.357829,995.728275,1039.079824,1128.098888,1180.45342,1229.215104,1351.120727,1535.204529,1759.646848,1955.222625,2240.092732,2551.435464,2919.373494,3141.331935,2716.974363,2796.081434,2943.836871,3159.758608,3266.29883,3393.092523,3512.393503,3533.885036,3815.374743,4027.83393,4343.458396,4032.090435,4264.799615,4791.004817
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,16150.651073,18992.068378,22468.50712,24730.396448,24763.65381,25460.363027,25743.445501,25870.153396,26581.976749,26504.186418,25779.597928,26547.416608,26418.08833,26384.810594,28104.895436,29007.738696,28535.463948,28525.807706,29959.774819,29081.7067,28885.91187,29556.838469,29870.664808,26204.059736,25429.218097,26093.054208,25444.733665,26680.141121,26773.822681,27458.220154,27587.249804,28548.890432,29419.208623,29699.180537,22729.889759,26292.917936,29195.267023
Australia,19957.01854,20049.20146,19819.550862,20651.335433,21662.99404,22512.370637,22528.122331,23648.546264,24418.86062,25598.378558,26899.754197,27046.143151,27590.977755,27883.891225,28303.40847,28331.338814,28774.541893,29474.275207,29394.359192,30256.548536,30796.999074,31333.163309,31819.653294,30688.543969,31706.373342,32939.289513,33755.084782,34095.519096,35474.6951,36232.176471,36975.419901,36366.69624,36117.54465,37246.004433,38356.769198,39407.564753,40437.094186,41569.165368,43081.720172,44755.659972,45979.076565,46314.62353,47599.407929,48509.663218,50018.590448,50972.64052,51682.892523,52671.325847,53497.275355,53430.527478,53768.349733,54296.232132,55465.446287,55966.150927,56571.806252,56970.361303,57632.999593,57991.771347,58772.706315,59181.29979,58377.767052,59465.535671,61200.458896
Austria,11894.744132,12484.808748,12737.18537,13179.35245,13893.585844,14283.997382,14984.553035,15320.35833,15922.638665,16863.586349,18001.783075,18838.315599,19891.825985,20749.343994,21530.634223,21509.312343,22533.880335,23669.508635,23638.778407,24947.527074,25379.462993,25278.295236,25768.219274,26577.245472,26592.546919,27244.214839,27853.504987,28213.663399,29102.322254,30097.651288,31167.185798,31919.557352,32231.121614,32134.829914,32780.341942,33603.427826,34301.656215,34998.032117,36180.749057,37468.869887,38571.085878,38929.753801,39313.722511,39569.288557,40333.330718,40989.013178,42120.1557,43568.830224,44063.864202,42372.475825,43035.407353,44146.195681,44221.459953,43851.36755,43838.834589,43915.228021,44362.670281,45056.638591,45951.581916,46550.562246,43428.698314,45368.643434,47332.424036
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2866.410607,2808.727444,2141.340038,1621.918094,1284.955551,1120.308678,1123.447938,1177.19686,1282.684137,1365.565851,1504.731067,1640.936645,1782.473192,1949.606084,2111.453383,2674.368856,3556.832129,4412.203261,4778.124527,5118.433955,5300.110487,5149.206659,5193.175011,5425.995598,5508.602656,5500.503646,5272.718171,5229.2526,5261.929382,5346.953186,5087.500228,5349.582261,5599.58525
"Bahamas, The",18778.649735,19781.787369,20778.781585,21844.534835,23039.997422,24337.37361,25358.819183,26526.528346,27437.899548,28576.357871,25941.46902,25551.885315,24004.486645,25212.00913,20522.775304,17106.220493,17606.084841,18809.624122,21034.843399,26013.653376,27191.484997,24256.243557,25450.892829,25926.320888,29104.982995,29993.357029,30012.827039,30389.479709,30564.773151,32051.97772,30995.483072,29192.994261,27565.978462,27137.178343,27503.635391,28236.375377,28967.048046,28902.571897,29837.438179,31544.35406,32424.727179,32870.091831,33374.602686,32559.311555,32444.073957,33144.787879,33541.850749,33549.336001,32331.824614,30581.33422,30657.431906,30492.673853,31553.491949,30368.263124,30658.534456,30719.405417,30152.161925,30974.747726,31537.242384,31117.629913,24791.670495,29114.059773,32186.457504
Bahrain,,,,,,,,,,,17423.52467,17249.012422,18258.313114,19724.651653,20304.817462,17582.575441,21815.076483,23475.826643,23251.053113,22978.219802,22551.986093,20521.425016,18310.990859,18811.438096,19065.319148,17516.636104,17091.290302,18193.207344,18774.139517,18183.31193,18345.837997,20882.505864,21701.222034,23858.193125,23180.332256,23465.712917,23795.209254,23893.133566,24386.591652,24773.84641,25407.969405,25106.286974,24149.015601,23857.640358,23688.112106,23439.670435,23095.018133,23112.488806,23127.214804,22206.937199,22224.073617,23288.04494,23894.880445,24271.627881,24135.49913,23734.055114,23715.279133,23606.88675,24059.783864,24873.664006,23586.930958,24086.78478,25234.402562
Bangladesh,429.398701,442.754803,453.534881,438.49751,472.526378,466.297416,464.560595,442.631515,470.576663,462.973251,476.495758,442.581267,373.48319,375.012097,399.510508,373.260374,384.509552,385.08552,402.385596,411.669267,405.22677,423.537123,420.872005,425.646571,434.782352,438.382479,446.080253,452.659757,453.839237,457.254335,473.444821,480.673359,497.371174,511.193509,521.323145,537.931947,552.077107,566.271141,584.448175,600.232323,620.560473,641.288923,655.672139,676.826252,702.656357,739.203718,779.41957,825.50823,866.458158,901.729626,943.664229,995.579947,1050.391404,1103.156959,1159.407535,1224.386477,1299.830914,1373.753637,1462.250503,1564.208024,1604.665923,1702.080284,1804.349346
Barbados,8210.30224,8756.68902,9465.825724,8896.870246,9248.670789,10201.69862,10498.421012,11516.567354,12241.933977,13114.631047,14365.036693,14940.22051,15100.832678,15262.696352,14526.448448,14227.865346,14832.463331,15361.450976,16115.423003,17406.928604,18149.72565,17752.274131,16827.215959,16851.837907,17395.011678,17524.18116,18361.368472,18788.709269,19410.809231,20082.641067,19382.868722,18570.148967,17452.883207,17540.078082,17852.214329,18182.637024,18888.005471,19775.173675,20509.044846,20571.330334,21523.399224,20985.282857,21012.559545,21338.172074,21516.166292,22250.026381,23487.441877,23862.135353,23887.728963,22572.592605,21982.183904,21842.86356,21036.300337,20609.607627,20713.767021,20424.208753,20684.780183,20788.704654,20483.955098,20494.38716,17519.837063,17475.028178,20472.949405
