Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cambodia,0.032143,0.032684,0.034852,0.042064,0.047396,0.041344,0.043782,0.049589,0.049716,0.053392,0.056059,0.057413,0.060315,0.065115,0.062839,0.066928,0.056016,0.060842,0.06305,0.058698,0.05828,0.061651,0.064008,0.060988,0.058469,0.149863,0.154306,0.153799,0.165382,0.158384,0.160596,0.172817,0.174863,0.185281,0.182676,0.201002,0.220536,0.267119,0.291565,0.341666,0.355796,0.364413,0.376907,0.375413,0.45681,0.545315,0.668405,0.735875,0.756551,0.95325,1.114061,1.088858,1.068782
Cameroon,0.18306,0.140209,0.142327,0.144569,0.137094,0.168971,0.153159,0.208465,0.219735,0.232073,0.239432,0.24687,0.255563,0.505469,0.513843,0.489606,0.575249,0.507379,0.310352,0.432919,0.419747,0.388431,0.36285,0.385311,0.405143,0.394815,0.394051,0.386332,0.391612,0.367246,0.38399,0.372338,0.357349,0.354943,0.33937,0.320435,0.317753,0.373238,0.380579,0.403569,0.398006,0.36721,0.360945,0.382159,0.40211,0.403516,0.413632,0.40878,0.425229,0.402692,0.396329,0.3845,0.377592
Canada,16.796187,16.656915,17.241071,17.873932,17.98022,17.29438,17.629023,18.035439,17.988584,18.396512,18.374307,17.397368,16.475003,16.062614,16.667513,16.510935,15.961815,16.23443,17.183168,17.432328,15.907649,15.499019,15.766594,15.571542,15.995696,16.242497,16.543887,16.90777,17.040124,17.217844,17.699028,17.226334,17.668372,18.130154,17.525651,18.060117,17.644346,18.0805,17.307208,16.140062,16.529775,16.767495,16.339053,16.396768,16.377454,16.087029,15.898242,16.196245,16.523882,16.19086,14.421905,14.689759,14.7893
Caribbean small states,3.575579,3.513702,3.486263,3.609864,3.438013,3.347399,3.556081,3.84814,3.890203,3.894769,4.110339,4.110962,4.232351,4.126938,4.260228,4.334767,4.255408,4.322706,4.561114,4.588807,4.685948,4.733418,4.721379,4.602726,5.060941,4.97258,5.240333,5.29729,6.121748,6.170774,6.185663,6.783298,7.103496,7.928161,8.36697,9.975261,10.802668,11.045207,10.848453,10.481881,11.435315,11.278361,10.650842,10.429783,10.432362,10.316256,9.753709,9.319101,9.213714,9.575606,8.740852,8.538485,8.592136
Cayman Islands,2.453171,2.486935,3.043183,3.079273,2.760409,3.35074,3.051059,3.382986,3.408152,3.388172,3.349142,3.261659,3.146667,3.168691,3.603207,3.578128,3.802316,4.113033,4.509206,4.45445,4.450171,4.191397,4.087907,3.619562,4.066726,4.080261,3.883666,3.829165,3.775527,3.688225,3.329637,3.183334,3.368302,3.432421,3.084759,3.143969,3.410599,4.133878,4.357686,4.325516,4.569401,3.589541,3.342901,3.694485,3.858045,4.070277,4.171157,4.354226,4.68904,5.844609,4.832275,4.480231,5.003422
Central African Republic,0.03609,0.03535,0.034573,0.03504,0.037015,0.037642,0.038449,0.039318,0.039534,0.04493,0.043705,0.05326,0.052685,0.060771,0.054387,0.053596,0.066129,0.083734,0.075793,0.06832,0.055468,0.071106,0.055511,0.058489,0.059485,0.059497,0.062981,0.060877,0.060626,0.061484,0.066886,0.069703,0.069694,0.064439,0.061128,0.058897,0.061175,0.060097,0.043979,0.043188,0.044491,0.047645,0.047952,0.032052,0.034976,0.050418,0.053356,0.05522,0.06016,0.061156,0.063343,0.063125,0.06326
Central Europe and the Baltics,8.874875,8.944977,9.152231,9.517114,9.537748,9.926271,10.363951,10.726502,11.29343,11.445203,11.483494,11.027797,11.05658,11.078681,11.183202,11.205529,11.253042,11.431432,11.307522,10.930053,9.673377,8.874813,8.241386,8.053442,7.852032,7.913058,8.182807,7.930626,7.443897,7.043857,7.038905,7.204355,7.097422,7.429763,7.428819,7.441694,7.681617,7.760605,7.590725,6.958094,7.26601,7.299457,7.053995,6.84035,6.68352,6.807251,6.926306,7.211923,7.208349,6.856316,6.456977,7.024888,6.771835
Chad,0.04123,0.040422,0.039427,0.03979,0.04188,0.042522,0.043351,0.044786,0.04468,0.049918,0.048589,0.044017,0.039253,0.040087,0.019365,0.022899,0.038087,0.046025,0.025455,0.024985,0.039346,0.046264,0.038118,0.019279,0.02111,0.020835,0.020742,0.02069,0.020381,0.020358,0.028242,0.027623,0.028905,0.041875,0.045917,0.046562,0.046467,0.051256,0.042235,0.041837,0.042607,0.053595,0.091522,0.09607,0.098959,0.110148,0.111858,0.141486,0.149407,0.141712,0.140107,0.153189,0.15524
Chile,2.931477,3.127716,3.208868,3.149377,2.925475,2.618043,2.636043,2.422984,2.449695,2.557404,2.507197,2.257731,1.887291,1.901533,1.974265,1.876804,1.869613,1.858602,2.175727,2.571032,2.472335,2.326999,2.367721,2.475232,2.664028,2.876589,3.250492,3.640264,3.626562,3.746598,3.473824,3.294019,3.291629,3.377619,3.613958,3.617591,3.656163,4.063928,4.235646,4.010986,4.209362,4.557177,4.643413,4.82902,4.405718,4.675396,4.864741,4.836098,4.754062,4.961395,4.517707,4.579917,4.62475
China,1.113876,1.087784,1.131551,1.151079,1.147032,1.29215,1.323914,1.468054,1.632503,1.650016,1.594661,1.560164,1.606977,1.666745,1.792535,1.787251,1.869843,1.967902,2.081987,2.120494,2.126769,2.216061,2.291723,2.452549,2.556495,2.79351,2.743425,2.794398,2.835924,2.752195,2.889076,3.007476,3.227955,3.704679,4.240697,4.782994,5.280525,5.707632,5.852259,6.24909,6.807185,7.401851,7.584417,7.893276,7.931643,7.79057,7.763225,7.878027,8.217736,8.391476,8.478583,8.887157,8.864825
